PH_key,user_key,PH,date
339,999,1,2022-07-20 19:48:55
336,999,100,2022-07-20 18:10:29
331,999,1,2022-07-20 18:09:04
330,999,1,2022-07-20 18:09:04
332,999,1,2022-07-20 18:09:04
333,999,1,2022-07-20 18:09:04
334,999,1,2022-07-20 18:09:04
335,999,1,2022-07-20 18:09:04
329,999,1,2022-07-20 18:09:03
328,999,1,2022-07-20 18:09:03
327,999,1,2022-07-20 18:09:03
326,999,1,2022-07-20 18:09:03
321,999,1,2022-07-20 18:09:02
322,999,1,2022-07-20 18:09:02
323,999,1,2022-07-20 18:09:02
324,999,1,2022-07-20 18:09:02
325,999,1,2022-07-20 18:09:02
320,999,1,2022-07-20 18:09:02
319,999,1,2022-07-20 18:09:01
318,999,1,2022-07-20 18:09:00
317,999,1,2022-07-20 18:08:59
315,999,1,2022-07-20 18:08:46
316,999,1,2022-07-20 18:08:46
314,999,1,2022-07-20 18:08:44
313,999,1,2022-07-20 18:08:00
312,999,1,2022-07-20 18:07:26
310,999,100,2022-07-20 18:06:57
311,999,100,2022-07-20 18:06:57
309,999,100,2022-07-20 18:06:56
308,999,100,2022-07-20 18:06:18
307,999,100,2022-07-20 18:06:17
306,999,100,2022-07-20 18:06:17
305,999,100,2022-07-20 18:06:17
304,999,100,2022-07-20 18:06:17
303,999,100,2022-07-20 18:06:16
302,999,100,2022-07-20 18:05:56
301,999,100,2022-07-20 18:05:55
300,999,100,2022-07-20 18:05:11
299,999,100,2022-07-20 18:05:11
298,999,100,2022-07-20 18:05:11
297,999,100,2022-07-20 18:05:11
293,999,100,2022-07-20 18:05:10
294,999,100,2022-07-20 18:05:10
295,999,100,2022-07-20 18:05:10
296,999,100,2022-07-20 18:05:10
291,999,100,2022-07-20 18:05:09
290,999,100,2022-07-20 18:05:09
289,999,100,2022-07-20 18:05:09
288,999,100,2022-07-20 18:05:09
292,999,100,2022-07-20 18:05:09
286,999,100,2022-07-20 18:05:08
284,999,100,2022-07-20 18:05:08
285,999,100,2022-07-20 18:05:08
287,999,100,2022-07-20 18:05:08
283,999,100,2022-07-20 18:05:07
282,999,100,2022-07-20 18:05:06
281,999,100,2022-07-20 18:05:05
280,999,100,2022-07-20 18:05:05
278,999,100,2022-07-20 18:05:04
279,999,100,2022-07-20 18:05:04
277,999,100,2022-07-20 18:05:03
276,999,100,2022-07-20 18:04:43
275,999,1,2022-07-20 18:04:38
274,999,1,2022-07-20 18:04:37
271,999,1,2022-07-20 18:04:06
272,999,1,2022-07-20 18:04:06
273,999,1,2022-07-20 18:04:06
270,999,1,2022-07-20 18:04:05
269,999,1,2022-07-20 18:03:49
268,999,1,2022-07-20 18:03:49
267,999,1,2022-07-20 18:03:49
266,999,1,2022-07-20 18:03:48
265,999,1,2022-07-20 18:03:48
264,999,1,2022-07-20 18:03:48
262,999,1,2022-07-20 18:03:47
263,999,1,2022-07-20 18:03:47
261,999,1,2022-07-20 18:03:46
257,999,1,2022-07-20 18:02:08
256,999,1,2022-07-20 18:02:07
255,999,1,2022-07-20 18:02:06
239,999,1,2022-07-20 17:58:03
238,999,1,2022-07-20 17:58:02
237,999,1,2022-07-20 17:58:02
236,999,1,2022-07-20 17:58:01
235,999,1,2022-07-20 17:58:01
233,999,1,2022-07-20 17:58:00
234,999,1,2022-07-20 17:58:00
232,999,1,2022-07-20 17:57:59
231,999,1,2022-07-20 17:57:58
230,999,1,2022-07-20 17:57:49
229,999,1,2022-07-20 17:57:34
226,999,90,2022-07-20 17:47:18
225,999,90,2022-07-20 17:47:17
224,999,90,2022-07-20 17:47:02
223,999,100,2022-07-20 17:44:00
222,999,100,2022-07-20 17:43:31
221,999,100,2022-07-20 17:43:06
220,999,1,2022-07-20 17:43:02
219,999,1,2022-07-20 17:42:39
218,999,1,2022-07-20 17:34:26
217,999,1,2022-07-20 17:33:50
215,999,1,2022-07-20 17:28:44
216,999,1,2022-07-20 17:28:44
214,999,1,2022-07-20 17:28:43
213,999,1,2022-07-20 17:28:43
212,999,1,2022-07-20 17:28:42
211,999,1,2022-07-20 17:28:41
210,999,1,2022-07-20 17:27:12
209,999,1,2022-07-20 17:27:12
208,999,1,2022-07-20 17:27:11
207,999,1,2022-07-20 17:26:51
206,999,1,2022-07-20 17:26:50
205,999,1,2022-07-20 17:22:25
204,999,1,2022-07-20 17:22:24
203,999,1,2022-07-20 17:21:18
202,999,1,2022-07-20 17:21:17
201,999,1,2022-07-20 17:19:39
200,999,2,2022-07-20 17:17:24
199,999,2,2022-07-20 17:17:23
198,999,2,2022-07-20 17:15:10
197,999,100,2022-07-20 17:14:48
196,999,1,2022-07-20 17:14:43
195,999,1,2022-07-20 17:14:42
194,999,1,2022-07-20 17:12:44
193,999,1,2022-07-20 17:12:43
192,999,1,2022-07-20 17:12:42
191,999,1,2022-07-20 17:09:53
190,999,1,2022-07-20 17:09:45
189,999,1,2022-07-20 17:09:44
188,999,1,2022-07-20 17:07:02
187,999,3,2022-07-20 17:06:36
186,999,2,2022-07-20 17:06:22
185,999,2,2022-07-20 17:06:21
184,999,1,2022-07-20 17:04:47
183,999,1,2022-07-20 17:01:36
182,999,1,2022-07-20 16:32:58
181,999,1,2022-07-20 16:31:52
180,999,5,2022-07-20 16:30:14
179,999,1,2022-07-20 16:29:36
178,999,20,2022-07-20 16:29:15
177,999,1,2022-07-20 16:28:58
176,999,100,2022-07-20 16:28:53
175,999,100,2022-07-20 16:28:28
174,999,1,2022-07-20 16:28:16
131,999,1,2022-07-18 22:30:17
130,999,1,2022-07-18 22:02:56
129,999,1,2022-07-18 22:02:55
128,999,1,2022-07-18 22:02:54
127,999,1,2022-07-18 22:01:21
126,999,1,2022-07-18 22:01:20
125,999,1,2022-07-18 22:01:19
124,999,1,2022-07-18 22:00:33
123,999,1,2022-07-18 22:00:31
122,999,1,2022-07-18 22:00:30
121,999,1,2022-07-18 22:00:29
120,999,1,2022-07-18 22:00:28
119,999,1,2022-07-18 22:00:27
118,999,1,2022-07-18 22:00:26
117,999,1,2022-07-18 22:00:25
116,999,1,2022-07-18 22:00:24
115,999,1,2022-07-18 22:00:22
114,999,1,2022-07-18 22:00:21
113,999,1,2022-07-18 22:00:20
112,999,1,2022-07-18 22:00:19
111,999,1,2022-07-18 22:00:18
110,999,1,2022-07-18 22:00:16
109,999,1,2022-07-18 22:00:15
108,999,1,2022-07-18 22:00:10
107,999,1,2022-07-18 22:00:08
106,999,1,2022-07-18 22:00:07
105,999,1,2022-07-18 22:00:05
104,999,1,2022-07-18 22:00:04
103,999,1,2022-07-18 22:00:03
102,999,1,2022-07-18 21:59:57
101,999,1,2022-07-18 21:59:56
100,999,1,2022-07-18 21:59:55
99,999,1,2022-07-18 21:59:53
98,999,1,2022-07-18 21:59:52
97,999,1,2022-07-18 21:59:51
96,999,1,2022-07-18 21:59:50
95,999,1,2022-07-18 21:59:48
94,999,1,2022-07-18 21:59:47
93,999,1,2022-07-18 21:59:46
92,999,1,2022-07-18 21:59:44
91,999,1,2022-07-18 21:59:36
90,999,1,2022-07-18 21:59:05
89,999,1,2022-07-18 21:59:03
88,999,1,2022-07-18 21:59:02
87,999,1,2022-07-18 21:58:50
86,999,1,2022-07-18 21:58:49
85,999,1,2022-07-18 21:58:49
84,999,1,2022-07-18 21:58:48
83,999,1,2022-07-18 21:57:07
82,999,1,2022-07-18 21:57:06
81,999,1,2022-07-18 21:57:05
80,999,1,2022-07-18 21:57:03
79,999,2,2022-07-18 21:56:54
78,999,2,2022-07-18 21:56:45
77,999,2,2022-07-18 21:56:43
76,999,2,2022-07-18 21:56:40
75,999,1,2022-07-18 21:56:34
74,999,111,2022-07-18 21:24:54
73,999,111,2022-07-18 21:20:09
72,999,1,2022-07-18 21:18:47
71,999,22,2022-07-18 21:18:39
70,999,1,2022-07-18 21:15:34
69,999,1,2022-07-18 21:15:22
68,999,1,2022-07-18 21:15:20
67,999,1,2022-07-18 21:15:19
66,999,1,2022-07-18 21:15:11
65,999,2,2022-07-18 20:28:24
64,999,1,2022-07-18 20:28:19
63,999,3,2022-07-18 20:22:16
62,999,2,2022-07-18 20:22:10
61,999,1,2022-07-18 20:22:03
60,999,1,2022-07-18 20:21:49
59,999,1,2022-07-18 20:21:37
58,999,1,2022-07-18 20:21:37
57,999,1,2022-07-18 20:21:36
56,999,1,2022-07-18 20:21:36
55,999,1,2022-07-18 20:21:36
54,999,1,2022-07-18 20:21:35
53,999,1,2022-07-18 20:21:34
52,999,1,2022-07-18 18:13:23
51,999,1,2022-07-18 18:13:22
50,999,1,2022-07-18 18:12:13
49,999,1,2022-07-18 18:12:06
48,999,1.5,2022-07-18 18:11:29
47,999,1,2022-07-18 18:11:17
46,999,2,2022-07-18 18:10:02
45,999,1,2022-07-18 18:09:54
44,999,1,2022-07-18 18:09:53
43,999,1,2022-07-18 18:07:51
42,999,1,2022-07-18 18:04:59
41,999,1,2022-07-18 18:04:34
40,999,1,2022-07-18 18:03:10
39,999,1,2022-07-18 18:02:14
38,999,1,2022-07-18 18:01:59
37,999,1,2022-07-18 18:01:30
36,999,1,2022-07-18 18:01:29
35,999,1,2022-07-18 18:01:29
34,999,1,2022-07-18 18:01:29
33,999,1,2022-07-18 18:01:28
32,999,1,2022-07-18 18:01:27
31,999,1,2022-07-18 18:01:26
30,999,1,2022-07-18 18:01:21
29,999,1,2022-07-18 18:01:20
28,999,1,2022-07-18 18:01:20
27,999,1,2022-07-18 18:01:20
26,999,1,2022-07-18 18:01:19
25,999,1,2022-07-18 18:01:18
24,999,1,2022-07-18 18:01:17
23,999,1,2022-07-18 18:01:16
22,999,1,2022-07-18 18:01:14
21,999,5,2022-07-18 18:00:09
20,999,5,2022-07-18 17:59:32
19,999,5,2022-07-18 17:59:30
18,999,5,2022-07-18 17:59:19
17,999,5,2022-07-18 17:59:17
16,999,5,2022-07-18 17:59:14
15,999,5,2022-07-18 17:59:13
14,999,5,2022-07-18 17:58:33
13,999,-10,2022-07-18 17:55:44
12,999,2,2022-07-18 17:55:14
11,999,2,2022-07-18 17:55:13
10,999,1,2022-07-18 17:55:07
9,999,100,2022-07-18 17:52:52
8,999,100,2022-07-18 17:52:51
7,999,2,2022-07-18 17:52:15
6,999,2,2022-07-18 17:52:14
5,999,1,2022-07-18 17:51:57
4,999,1,2022-07-18 17:48:06
3,999,-10,2022-07-18 17:22:13
2,999,1,2022-07-18 17:21:25
1,999,1,2022-07-18 17:10:14
