no,PH,date
567,55,2022-08-02 10:46:25
566,11,2022-08-02 10:46:18
565,11,2022-08-02 10:46:17
564,11,2022-08-02 10:46:17
563,11,2022-08-02 10:46:17
561,11,2022-08-02 10:46:16
562,11,2022-08-02 10:46:16
560,11,2022-08-02 10:46:15
559,11,2022-08-02 10:46:15
555,11,2022-08-02 10:46:14
557,11,2022-08-02 10:46:14
556,11,2022-08-02 10:46:14
558,11,2022-08-02 10:46:14
554,11,2022-08-02 10:46:13
553,11,2022-08-02 10:46:12
552,11,2022-08-02 10:46:12
548,11,2022-08-02 10:46:11
550,11,2022-08-02 10:46:11
549,11,2022-08-02 10:46:11
551,11,2022-08-02 10:46:11
547,11,2022-08-02 10:46:10
546,11,2022-08-02 10:46:10
545,11,2022-08-02 10:46:10
544,11,2022-08-02 10:46:09
543,11,2022-08-02 10:46:09
542,11,2022-08-02 10:46:09
541,11,2022-08-02 10:46:08
537,11,2022-08-02 10:46:07
538,11,2022-08-02 10:46:07
540,11,2022-08-02 10:46:07
539,11,2022-08-02 10:46:07
536,11,2022-08-02 10:46:06
535,11,2022-08-02 10:46:06
533,11,2022-08-02 10:46:05
534,11,2022-08-02 10:46:05
532,11,2022-08-02 10:46:05
531,11,2022-08-02 10:46:03
530,11,2022-08-02 10:45:57
410,11,2022-08-01 16:47:48
409,3,2022-08-01 10:25:42
408,3,2022-07-31 20:13:25
407,1,2022-07-30 18:28:47
406,1,2022-07-30 17:55:08
405,2,2022-07-30 15:39:31
341,1,2022-07-25 15:23:47
340,2,2022-07-25 15:21:33
